976k  111.196.75.15:8888
970k  125.33.89.106:5566
961k  123.113.187.204:8000
957k  114.254.93.146:2222
957k  114.243.102.150:8888
915k  221.221.167.14:8888
910k  114.243.102.173:8888
908k  123.116.123.70:8012
905k  114.252.235.176:8000
881k  114.254.93.44:8864
881k  111.196.135.75:8686
846k  222.128.86.76:8133
821k  123.116.119.30:8012
768k  114.246.96.170:4000
749k  111.193.236.223:4022
741k  114.253.242.44:4022
720k  221.221.162.225:8888
706k  111.192.0.32:4022
600k  111.193.236.110:8888
442k  114.254.81.231:2222
303k  111.196.129.152:20000
190k  123.112.19.67:8012
