995k  113.111.16.104:8889
990k  183.31.9.11:9001
987k  116.22.28.76:4022
986k  183.7.134.154:8088
976k  14.117.236.160:9000
976k  125.92.140.87:4022
976k  113.68.62.11:8090
909k  113.117.107.235:8800
897k  113.100.72.187:8899
720k  113.111.16.104:8888
684k  14.155.205.221:4022
683k  14.145.225.183:8888
667k  125.90.252.101:4036
596k  120.234.5.29:6000
539k  58.62.234.242:10000
484k  218.15.214.115:10000
400k  113.119.11.155:10000
398k  113.65.9.61:4014
278k  14.19.168.64:4022
262k  120.234.5.28:6000
259k  113.90.246.252:4000
254k  61.143.227.162:10000
204k  183.234.156.66:10000
