973k  171.80.233.89:8888
967k  27.19.118.200:4022
962k  119.98.37.34:4022
962k  111.179.106.136:9999
961k  171.83.136.91:10000
958k  27.28.196.151:4022
957k  27.19.216.231:4022
949k  27.30.72.7:8888
948k  116.208.23.37:8880
943k  59.174.224.142:8880
940k  61.136.158.88:18888
931k  27.24.224.108:8888
929k  219.140.227.238:5555
926k  58.52.242.3:8888
877k  119.98.133.179:4000
865k  171.115.208.73:58888
858k  27.17.233.195:3520
821k  119.98.70.144:4022
685k  171.83.2.223:5100
554k  119.100.148.10:8888
331k  27.17.252.56:8056
