1020k  58.215.3.254:8686
989k  117.88.231.123:8888
988k  114.226.231.250:8888
978k  49.74.204.84:8888
978k  49.73.82.182:8887
978k  180.110.139.149:58888
978k  117.88.22.70:4022
978k  114.231.130.51:4022
977k  222.95.99.185:8888
977k  218.94.98.57:10001
977k  180.112.144.156:8888
977k  180.108.218.56:8012
977k  180.102.252.214:8000
977k  117.86.50.211:7777
976k  180.102.250.10:8118
976k  121.227.14.141:8686
966k  117.92.184.168:7777
940k  49.79.3.119:8890
834k  117.92.190.96:8686
830k  114.221.238.15:8888
681k  114.231.209.216:9999
679k  180.106.62.100:4022
661k  117.86.50.224:7777
658k  180.121.111.106:55555
627k  221.226.171.155:4022
586k  49.71.30.163:8888
461k  114.235.175.219:8888
393k  49.69.201.229:10001
368k  180.104.168.20:3000
318k  222.95.92.12:4000
307k  222.188.164.181:4022
306k  180.124.225.19:3000
242k  121.232.31.110:4022
230k  117.86.49.165:7777
197k  114.225.185.252:8800
187k  49.89.113.205:8800
176k  180.121.91.42:8888
133k  117.85.146.144:4000
116k  180.124.225.14:3000
108k  180.116.217.148:4022
