999k  171.213.131.231:4022
997k  171.213.202.85:8000
987k  125.70.81.135:97
965k  171.213.135.242:8000
931k  118.114.222.192:8888
930k  118.122.103.240:4022
929k  171.213.131.149:4443
841k  171.213.133.239:9100
826k  171.217.133.157:4022
825k  222.210.153.89:8888
692k  171.213.130.138:19999
646k  171.213.214.77:66
643k  171.213.134.222:66
618k  171.213.213.217:66
590k  171.213.138.11:8123
574k  171.213.197.206:9999
551k  222.210.186.222:888
445k  125.69.139.39:8880
440k  171.213.129.155:19999
247k  118.113.234.107:4022
211k  171.223.190.175:4022
147k  171.213.135.174:8888
