998k  183.133.107.171:8899
997k  220.184.81.154:55555
994k  125.115.130.190:4022
993k  36.24.19.73:12345
976k  36.20.7.141:4022
976k  183.156.124.15:4022
976k  183.141.216.61:9999
976k  183.134.161.187:4022
976k  125.125.143.220:8881
976k  125.123.75.220:4022
976k  125.109.63.165:9999
976k  122.246.188.56:8888
976k  115.230.248.208:9999
975k  122.233.158.27:4022
970k  60.178.204.207:4022
921k  115.224.100.23:8888
672k  60.186.204.148:4000
666k  125.125.181.194:4000
212k  36.22.226.147:4022
174k  183.133.104.164:8899
